ID Clients;Numero de compte;Identifiant operation;Type de transaction;Status operation;Localisation;Date;Montant;Target
1023;851032.0;TR208/1145;Paiement en ligne;Echoué;Kaolack;2025-02-10 22:20:00;45000.0;Normal
543;85453.0;TR107/0124;ATM;Echoué;Tambacounda;2025-02-10 17:00:00;18000.0;Suspect
1013;851301.0;TR205/00196;Paiement électronique;Validé;Thiès;2025-02-10 03:30:00;200000.0;Normal
10360;8501036.0;TR216/00239;ATM;Validé;Kaolack;2025-02-09 09:00:00;29000.0;Normal
1022;851202.0;TR208/0023;ATM;Validé;Ziguinchor;2025-02-08 15:55:00;14000.0;Normal
10220;8512020.0;TR209/00110;ATM;Validé;Dakar;2025-02-08 10:00:00;6000.0;Normal
515;85155.0;TR6/78;ATM;Validé;Saint Louis;2025-02-07 16:45:00;16000.0;Normal
10350;8501053.0;TR216/00238;Paiement électronique;Validé;Saint Louis;2025-02-06 15:30:00;720000.0;Normal
543;85453.0;TR107/0131;Paiement en ligne;Echoué;Kolda;2025-02-05 18:00:00;60000.0;Suspect
515;85155.0;TR6/82;Paiement en ligne;Validé;Kaolack;2025-02-05 13:15:00;65000.0;Normal
10230;8510320.0;TR209/00114;Paiement électronique;Validé;Diourbel;2025-02-05 12:45:00;82000.0;Normal
1015;855101.0;TR205/00195;Paiement électronique;Validé;Dakar;2025-02-05 03:00:00;420000.0;Normal
10350;8501053.0;TR216/00237;Paiement en ligne;En attente;Kolda;2025-02-04 17:30:00;610000.0;Suspect
516;85651.0;TR6/77;Paiement électronique;Validé;Diourbel;2025-02-04 11:00:00;1100000.0;Normal
10240;8541010.0;TR209/00118;ATM;Validé;Kaolack;2025-02-04 10:15:00;4800.0;Normal
544;85254.0;TR107/0134;Paiement électronique;En attente;Bambey;2025-02-04 10:00:00;112000.0;Fraude
1024;854101.0;TR208/8901;Paiement électronique;Validé;Dakar;2025-02-03 12:30:00;800000.0;Normal
10350;8501053.0;TR216/00236;ATM;Validé;Ziguinchor;2025-02-02 11:00:00;27000.0;Normal
516;85651.0;TR6/81;ATM;Validé;Tambacounda;2025-02-01 18:00:00;20000.0;Normal
1023;851032.0;TR208/7789;Paiement en ligne;Validé;Tivaouane;2025-02-01 17:05:00;30000.0;Normal
515;85155.0;TR6/76;Paiement en ligne;Validé;Dakar;2025-02-01 12:30:00;55000.0;Normal
